,Maker,Miles per Gallon,Cylinders,Displacement,HP,Weight,Acceleration,Model,Origin,L/100km,kW,Fuel Consumption Type
226,Chevrolet Vega,21.0,4.0,140.0,72.0,2401.0,19.5,73,US,11.200656109523809,53.690390784,Expensive
227,Mercury Zephyr,20.8,6.0,200.0,85.0,3070.0,16.7,78,US,11.308354725961538,63.38448912,Expensive
228,Buick Century Special,20.6,6.0,231.0,105.0,3380.0,15.8,78,US,11.418144577669903,78.29848656,Expensive
229,Dodge Aspen 6,20.6,6.0,225.0,110.0,3360.0,16.6,79,US,11.418144577669903,82.02698592,Expensive
230,Chevrolet Malibu,20.5,6.0,200.0,95.0,3155.0,18.2,78,US,11.473842843902439,70.84148784,Expensive
231,Plymouth Volare,20.5,6.0,225.0,100.0,3430.0,17.2,78,US,11.473842843902439,74.5699872,Expensive
232,Buick Skylark,20.5,6.0,231.0,105.0,3425.0,16.9,77,US,11.473842843902439,78.29848656,Expensive
233,Audi 5000,20.3,5.0,131.0,103.0,2830.0,15.9,78,Europe,11.586885630541872,76.807086816,Expensive
234,Ford Grenada gl,20.2,6.0,200.0,88.0,3060.0,17.1,81,US,11.64424645049505,65.62158873599999,Expensive
235,Ford Fairmont (auto),20.2,6.0,200.0,85.0,2965.0,15.8,78,US,11.64424645049505,63.38448912,Expensive
236,Mercury Monarch ghia,20.2,8.0,302.0,139.0,3570.0,12.8,78,US,11.64424645049505,103.652282208,Expensive
237,AMC Concord DL 6,20.2,6.0,232.0,90.0,3265.0,18.2,79,US,11.64424645049505,67.11298848,Expensive
238,Chevrolet Vega,20.0,4.0,140.0,90.0,2408.0,19.5,72,US,11.760688915,67.11298848,Expensive
239,Dodge Aspen SE,20.0,6.0,225.0,100.0,3651.0,17.7,76,US,11.760688915,74.5699872,Expensive
240,Toyota Camry,20.0,4.0,97.0,88.0,2279.0,19.0,73,Japan,11.760688915,65.62158873599999,Expensive
241,Audi 100LS,20.0,4.0,114.0,91.0,2582.0,14.0,73,Europe,11.760688915,67.858688352,Expensive
242,Volvo 245,20.0,4.0,130.0,102.0,3150.0,15.7,76,Europe,11.760688915,76.06138694399999,Expensive
243,Plymouth Duster,20.0,6.0,198.0,95.0,3102.0,16.5,74,US,11.760688915,70.84148784,Expensive
244,Chevrolet Monza 2+2,20.0,8.0,262.0,110.0,3221.0,13.5,75,US,11.760688915,82.02698592,Expensive
245,Toyota Mark II,20.0,6.0,156.0,122.0,2807.0,13.5,73,Japan,11.760688915,90.975384384,Expensive
246,AMC Gremlin,20.0,6.0,232.0,100.0,2914.0,16.0,75,US,11.760688915,74.5699872,Expensive
247,Oldsmobile Cutlass Salon Brougham,19.9,8.0,260.0,110.0,3365.0,15.5,78,US,11.819787854271357,82.02698592,Expensive
248,Mercury Zephyr 6,19.8,6.0,200.0,85.0,2990.0,18.2,79,US,11.879483752525251,63.38448912,Expensive
249,Dodge Diplomat,19.4,8.0,318.0,140.0,3735.0,13.2,78,US,12.124421561855671,104.39798207999999,Expensive
250,AMC Concord,19.4,6.0,232.0,90.0,3210.0,17.2,78,US,12.124421561855671,67.11298848,Expensive
251,Chevrolet Monte Carlo Landau,19.2,8.0,305.0,145.0,3425.0,13.2,78,US,12.250717619791667,108.12648143999999,Expensive
252,Chevrolet Malibu Classic (sw),19.2,8.0,267.0,125.0,3605.0,15.0,79,US,12.250717619791667,93.212484,Expensive
253,Pontiac Phoenix LJ,19.2,6.0,231.0,105.0,3535.0,19.2,78,US,12.250717619791667,78.29848656,Expensive
254,Dodge Aspen,19.1,6.0,225.0,90.0,3381.0,18.7,80,US,12.3148575026178,67.11298848,Expensive
255,AMC Gremlin,19.0,6.0,232.0,100.0,2634.0,13.0,71,US,12.379672542105263,74.5699872,Expensive
256,Ford Torino 500,19.0,6.0,250.0,88.0,3302.0,15.5,71,US,12.379672542105263,65.62158873599999,Expensive
257,Toyota Mark II,19.0,6.0,156.0,108.0,2930.0,15.5,76,Japan,12.379672542105263,80.535586176,Expensive
258,Plymouth Valiant Custom,19.0,6.0,225.0,95.0,3264.0,16.0,75,US,12.379672542105263,70.84148784,Expensive
259,Mazda RX2 Coupe,19.0,3.0,70.0,97.0,2330.0,13.5,72,Japan,12.379672542105263,72.332887584,Expensive
260,Plymouth Volare Custom,19.0,6.0,225.0,100.0,3630.0,17.7,77,US,12.379672542105263,74.5699872,Expensive
261,Pontiac Firebird,19.0,6.0,250.0,100.0,3282.0,15.0,71,US,12.379672542105263,74.5699872,Expensive
262,Ford Pinto,19.0,4.0,122.0,85.0,2310.0,18.5,73,US,12.379672542105263,63.38448912,Expensive
263,AMC Pacer,19.0,6.0,232.0,90.0,3211.0,17.0,75,US,12.379672542105263,67.11298848,Expensive
264,Peugeot 504,19.0,4.0,120.0,88.0,3270.0,21.9,76,Europe,12.379672542105263,65.62158873599999,Expensive
265,AMC Hornet,19.0,6.0,232.0,100.0,2901.0,16.0,74,US,12.379672542105263,74.5699872,Expensive
266,Volvo 144ea,19.0,4.0,121.0,112.0,2868.0,15.5,73,Europe,12.379672542105263,83.518385664,Expensive
267,Dodge Aspen,18.6,6.0,225.0,110.0,3620.0,18.7,78,US,12.645902059139784,82.02698592,Expensive
268,Ford Grenada,18.5,6.0,250.0,98.0,3525.0,19.0,77,US,12.714258286486487,73.078587456,Expensive
269,Chrysler Lebaron Town @ Country (sw),18.5,8.0,360.0,150.0,3940.0,13.0,79,US,12.714258286486487,111.85498079999999,Expensive
270,Pontiac Ventura SJ,18.5,6.0,250.0,110.0,3645.0,16.2,76,US,12.714258286486487,82.02698592,Expensive
271,Dodge St. Regis,18.2,8.0,318.0,135.0,3830.0,15.2,79,US,12.923833972527474,100.66948272,Expensive
272,Ford Futura,18.1,8.0,302.0,139.0,3205.0,11.2,78,US,12.995236370165745,103.652282208,Expensive
273,AMC Concord d/l,18.1,6.0,258.0,120.0,3410.0,15.1,78,US,12.995236370165745,89.48398464,Expensive
274,Ford Mustang,18.0,6.0,250.0,88.0,3139.0,14.5,71,US,13.067432127777778,65.62158873599999,Expensive
275,Chevrolet Nova,18.0,6.0,250.0,105.0,3459.0,16.0,75,US,13.067432127777778,78.29848656,Expensive
276,AMC Hornet Sportabout (sw),18.0,6.0,258.0,110.0,2962.0,13.5,71,US,13.067432127777778,82.02698592,Expensive
277,AMC Matador,18.0,6.0,232.0,100.0,3288.0,15.5,71,US,13.067432127777778,74.5699872,Expensive
278,Volvo 145e (sw),18.0,4.0,121.0,112.0,2933.0,14.5,72,Europe,13.067432127777778,83.518385664,Expensive
279,Ford Grenada ghia,18.0,6.0,250.0,78.0,3574.0,21.0,76,US,13.067432127777778,58.164590016,Expensive
280,Ford Pinto,18.0,6.0,171.0,97.0,2984.0,14.5,75,US,13.067432127777778,72.332887584,Expensive
281,Plymouth Valiant,18.0,6.0,225.0,105.0,3121.0,16.5,73,US,13.067432127777778,78.29848656,Expensive
282,AMC Hornet,18.0,6.0,232.0,100.0,2945.0,16.0,73,US,13.067432127777778,74.5699872,Expensive
283,Ford Maverick,18.0,6.0,250.0,88.0,3021.0,16.5,73,US,13.067432127777778,65.62158873599999,Expensive
284,AMC Hornet,18.0,6.0,199.0,97.0,2774.0,15.5,70,US,13.067432127777778,72.332887584,Expensive
285,Plymouth Fury,18.0,6.0,225.0,95.0,3785.0,19.0,75,US,13.067432127777778,70.84148784,Expensive
286,Plymouth Satellite,18.0,8.0,318.0,150.0,3436.0,11.0,70,US,13.067432127777778,111.85498079999999,Expensive
287,Chevrolet Chevelle Malibu,18.0,8.0,307.0,130.0,3504.0,12.0,70,US,13.067432127777778,96.94098336,Expensive
288,Mazda RX3,18.0,3.0,70.0,90.0,2124.0,13.5,73,Japan,13.067432127777778,67.11298848,Expensive
289,AMC Gremlin,18.0,6.0,232.0,100.0,2789.0,15.0,73,US,13.067432127777778,74.5699872,Expensive
290,Plymouth Satellite Sebring,18.0,6.0,225.0,105.0,3613.0,16.5,74,US,13.067432127777778,78.29848656,Expensive
291,Buick Regal Sport Coupe (turbo),17.7,6.0,231.0,165.0,3445.0,13.4,78,US,13.288914028248588,123.04047888,Expensive
292,Chrysler Lebaron Salon,17.6,6.0,225.0,85.0,3465.0,16.6,81,US,13.364419221590907,63.38448912,Expensive
293,Ford LTD Landau,17.6,8.0,302.0,129.0,3725.0,13.4,79,US,13.364419221590907,96.195283488,Expensive
294,Chevrolet Concours,17.5,6.0,250.0,110.0,3520.0,16.4,77,US,13.440787331428572,82.02698592,Expensive
295,Chevrolet Chevelle Malibu Classic,17.5,8.0,305.0,140.0,4215.0,13.0,76,US,13.440787331428572,104.39798207999999,Expensive
296,Dodge Magnum XE,17.5,8.0,318.0,140.0,4080.0,13.7,78,US,13.440787331428572,104.39798207999999,Expensive
297,Chevrolet Caprice Classic,17.5,8.0,305.0,145.0,3880.0,12.5,77,US,13.440787331428572,108.12648143999999,Expensive
298,AMC Pacer d/l,17.5,6.0,258.0,95.0,3193.0,17.8,76,US,13.440787331428572,70.84148784,Expensive
299,Buick Century,17.0,6.0,231.0,110.0,3907.0,21.0,75,US,13.836104605882353,82.02698592,Expensive
300,Chevrolet Chevelle Malibu,17.0,6.0,250.0,100.0,3329.0,15.5,71,US,13.836104605882353,74.5699872,Expensive
301,Oldsmobile Cutlass Supreme,17.0,8.0,260.0,110.0,4060.0,19.0,77,US,13.836104605882353,82.02698592,Expensive
302,Ford Torino,17.0,8.0,302.0,140.0,3449.0,10.5,70,US,13.836104605882353,104.39798207999999,Expensive
303,Chevrolet Caprice Classic,17.0,8.0,305.0,130.0,3840.0,15.4,79,US,13.836104605882353,96.94098336,Expensive
304,AMC Ambassador SST,17.0,8.0,304.0,150.0,3672.0,11.5,72,US,13.836104605882353,111.85498079999999,Expensive
305,Volvo 264gl,17.0,6.0,163.0,125.0,3140.0,13.6,78,Europe,13.836104605882353,93.212484,Expensive
306,Buick Estate Wagon (sw),16.9,8.0,350.0,155.0,4360.0,14.9,79,US,13.91797504733728,115.58348016,Expensive
307,Cadillac Seville,16.5,8.0,350.0,180.0,4380.0,12.1,76,US,14.255380503030302,134.22597696,Expensive
308,Mercedes-Benz 280s,16.5,6.0,168.0,120.0,3820.0,16.7,76,Europe,14.255380503030302,89.48398464,Expensive
309,Mercury Grand Marquis,16.5,8.0,351.0,138.0,3955.0,13.2,79,US,14.255380503030302,102.906582336,Expensive
310,Peugeot 604sl,16.2,6.0,163.0,133.0,3410.0,15.8,78,Europe,14.519369030864198,99.178082976,Expensive
311,Ford Gran Torino,16.0,8.0,302.0,140.0,4141.0,14.0,74,US,14.70086114375,104.39798207999999,Expensive
312,Chevrolet Chevelle Malibu Classic,16.0,6.0,250.0,100.0,3781.0,17.0,74,US,14.70086114375,74.5699872,Expensive
313,Chevrolet Nova Custom,16.0,6.0,250.0,100.0,3278.0,18.0,73,US,14.70086114375,74.5699872,Expensive
314,Pontiac Grand Prix LJ,16.0,8.0,400.0,180.0,4220.0,11.1,77,US,14.70086114375,134.22597696,Expensive
315,Dodge Coronet Brougham,16.0,8.0,318.0,150.0,4190.0,13.0,76,US,14.70086114375,111.85498079999999,Expensive
316,AMC Matador,16.0,6.0,258.0,110.0,3632.0,18.0,74,US,14.70086114375,82.02698592,Expensive
317,Plymouth Satellite Custom,16.0,6.0,225.0,105.0,3439.0,15.5,71,US,14.70086114375,78.29848656,Expensive
318,Pontiac Catalina,16.0,8.0,400.0,170.0,4668.0,11.5,75,US,14.70086114375,126.76897824,Expensive
319,Plymouth Grand Fury,16.0,8.0,318.0,150.0,4498.0,14.5,75,US,14.70086114375,111.85498079999999,Expensive
320,Pontiac Grand Prix,16.0,8.0,400.0,230.0,4278.0,9.5,73,US,14.70086114375,171.51097056,Expensive
321,Chevrolete Chevelle Malibu,16.0,6.0,250.0,105.0,3897.0,18.5,75,US,14.70086114375,78.29848656,Expensive
322,Ford Thunderbird,16.0,8.0,351.0,149.0,4335.0,14.5,77,US,14.70086114375,111.109280928,Expensive
323,AMC Rebel SST,16.0,8.0,304.0,150.0,3433.0,12.0,70,US,14.70086114375,111.85498079999999,Expensive
324,AMC Matador,15.5,8.0,304.0,120.0,3962.0,13.9,76,US,15.175082470967743,89.48398464,Expensive
325,Ford Country Squire (sw),15.5,8.0,351.0,142.0,4054.0,14.3,79,US,15.175082470967743,105.889381824,Expensive
326,Chevrolet Monte Carlo Landau,15.5,8.0,350.0,170.0,4165.0,11.4,77,US,15.175082470967743,126.76897824,Expensive
327,Dodge Monaco Brougham,15.5,8.0,318.0,145.0,4140.0,13.7,77,US,15.175082470967743,108.12648143999999,Expensive
328,Chrysler Cordoba,15.5,8.0,400.0,190.0,4325.0,12.2,77,US,15.175082470967743,141.68297568,Expensive
329,Chevrolet Nova,15.0,6.0,250.0,100.0,3336.0,17.0,74,US,15.680918553333333,74.5699872,Expensive
330,Plymouth Fury III,15.0,8.0,318.0,150.0,4135.0,13.5,72,US,15.680918553333333,111.85498079999999,Expensive
331,Mercury Monarch,15.0,6.0,250.0,72.0,3432.0,21.0,75,US,15.680918553333333,53.690390784,Expensive
332,Buick Skylark 320,15.0,8.0,350.0,165.0,3693.0,11.5,70,US,15.680918553333333,123.04047888,Expensive
333,AMC Ambassador DPL,15.0,8.0,390.0,190.0,3850.0,8.5,70,US,15.680918553333333,141.68297568,Expensive
334,AMC Matador (sw),15.0,8.0,304.0,150.0,3892.0,12.5,72,US,15.680918553333333,111.85498079999999,Expensive
335,Ford Maverick,15.0,6.0,250.0,72.0,3158.0,19.5,75,US,15.680918553333333,53.690390784,Expensive
336,Mercury Cougar Brougham,15.0,8.0,302.0,130.0,4295.0,14.9,77,US,15.680918553333333,96.94098336,Expensive
337,Ford Galaxie 500,15.0,8.0,429.0,198.0,4341.0,10.0,70,US,15.680918553333333,147.648574656,Expensive
338,Dodge Challenger SE,15.0,8.0,383.0,170.0,3563.0,10.0,70,US,15.680918553333333,126.76897824,Expensive
339,Chevrolet Bel Air,15.0,8.0,350.0,145.0,4440.0,14.0,75,US,15.680918553333333,108.12648143999999,Expensive
340,Dodge Coronet Custom,15.0,8.0,318.0,150.0,3777.0,12.5,73,US,15.680918553333333,111.85498079999999,Expensive
341,Chevrolet Monte Carlo,15.0,8.0,400.0,150.0,3761.0,9.5,70,US,15.680918553333333,111.85498079999999,Expensive
342,Chevrolet Monte Carlo S,15.0,8.0,350.0,145.0,4082.0,13.0,73,US,15.680918553333333,108.12648143999999,Expensive
343,AMC Matador,15.0,6.0,258.0,110.0,3730.0,19.0,75,US,15.680918553333333,82.02698592,Expensive
344,Dodge Dart Custom,15.0,8.0,318.0,150.0,3399.0,11.0,73,US,15.680918553333333,111.85498079999999,Expensive
345,Ford Gran Torino,14.5,8.0,351.0,152.0,4215.0,12.8,76,US,16.22163988275862,113.346380544,Expensive
346,Ford Galaxie 500,14.0,8.0,351.0,153.0,4154.0,13.5,71,US,16.800984164285715,114.092080416,Expensive
347,Plymouth Fury iii,14.0,8.0,318.0,150.0,4096.0,13.0,71,US,16.800984164285715,111.85498079999999,Expensive
348,Plymouth Fury Gran Sedan,14.0,8.0,318.0,150.0,4237.0,14.5,73,US,16.800984164285715,111.85498079999999,Expensive
349,Ford Gran Torino,14.0,8.0,302.0,137.0,4042.0,14.5,73,US,16.800984164285715,102.160882464,Expensive
350,AMC Matador,14.0,8.0,304.0,150.0,3672.0,11.5,73,US,16.800984164285715,111.85498079999999,Expensive
351,Dodge Coronet Custom (sw),14.0,8.0,318.0,150.0,4457.0,13.5,74,US,16.800984164285715,111.85498079999999,Expensive
352,Ford Gran Torino (sw),14.0,8.0,302.0,140.0,4638.0,16.0,74,US,16.800984164285715,104.39798207999999,Expensive
353,AMC Matador (sw),14.0,8.0,304.0,150.0,4257.0,15.5,74,US,16.800984164285715,111.85498079999999,Expensive
354,Buick Estate Wagon (sw),14.0,8.0,455.0,225.0,3086.0,10.0,70,US,16.800984164285715,167.7824712,Expensive
355,Chevrolet Impala,14.0,8.0,350.0,165.0,4209.0,12.0,71,US,16.800984164285715,123.04047888,Expensive
356,Pontiac Catalina Brougham,14.0,8.0,400.0,175.0,4464.0,11.5,71,US,16.800984164285715,130.4974776,Expensive
357,Pontiac Catalina,14.0,8.0,400.0,175.0,4385.0,12.0,72,US,16.800984164285715,130.4974776,Expensive
358,Ford LTD,14.0,8.0,351.0,148.0,4657.0,13.5,75,US,16.800984164285715,110.363581056,Expensive
359,Plymouth 'Cuda 340,14.0,8.0,340.0,160.0,3609.0,8.0,70,US,16.800984164285715,119.31197952,Expensive
360,Plymouth Satellite Custom (sw),14.0,8.0,318.0,150.0,4077.0,14.0,72,US,16.800984164285715,111.85498079999999,Expensive
361,Pontiac Catalina,14.0,8.0,455.0,225.0,4425.0,10.0,70,US,16.800984164285715,167.7824712,Expensive
362,Plymouth Fury iii,14.0,8.0,440.0,215.0,4312.0,8.5,70,US,16.800984164285715,160.32547248,Expensive
363,Chevrolet Impala,14.0,8.0,454.0,220.0,4354.0,9.0,70,US,16.800984164285715,164.05397184,Expensive
364,Ford Galaxie 500,14.0,8.0,351.0,153.0,4129.0,13.0,72,US,16.800984164285715,114.092080416,Expensive
365,Buick Century Luxus (sw),13.0,8.0,350.0,150.0,4699.0,14.5,74,US,18.09336756153846,111.85498079999999,Expensive
366,Ford Mustang II,13.0,8.0,302.0,129.0,3169.0,12.0,75,US,18.09336756153846,96.195283488,Expensive
367,Plymouth Volare Premier v8,13.0,8.0,318.0,150.0,3940.0,13.2,76,US,18.09336756153846,111.85498079999999,Expensive
368,Plymouth Custom Suburb,13.0,8.0,360.0,170.0,4654.0,13.0,73,US,18.09336756153846,126.76897824,Expensive
369,Dodge D100,13.0,8.0,318.0,150.0,3755.0,14.0,76,US,18.09336756153846,111.85498079999999,Expensive
370,AMC Ambassador Brougham,13.0,8.0,360.0,175.0,3821.0,11.0,73,US,18.09336756153846,130.4974776,Expensive
371,Chrysler New Yorker Brougham,13.0,8.0,440.0,215.0,4735.0,11.0,73,US,18.09336756153846,160.32547248,Expensive
372,Ford F108,13.0,8.0,302.0,130.0,3870.0,15.0,76,US,18.09336756153846,96.94098336,Expensive
373,Ford LTD,13.0,8.0,351.0,158.0,4363.0,13.0,73,US,18.09336756153846,117.820579776,Expensive
374,Chevrolet Impala,13.0,8.0,350.0,165.0,4274.0,12.0,72,US,18.09336756153846,123.04047888,Expensive
375,Chevrolet C10,13.0,8.0,350.0,145.0,4055.0,12.0,76,US,18.09336756153846,108.12648143999999,Expensive
376,Buick Century 350,13.0,8.0,350.0,175.0,4100.0,13.0,73,US,18.09336756153846,130.4974776,Expensive
377,Buick LeSabre Custom,13.0,8.0,350.0,155.0,4502.0,13.5,72,US,18.09336756153846,115.58348016,Expensive
378,Ford Gran Torino (sw),13.0,8.0,302.0,140.0,4294.0,16.0,72,US,18.09336756153846,104.39798207999999,Expensive
379,Chevrolet Chevelle Concours (sw),13.0,8.0,307.0,130.0,4098.0,14.0,72,US,18.09336756153846,96.94098336,Expensive
380,Chrysler Newport Royal,13.0,8.0,400.0,190.0,4422.0,12.5,72,US,18.09336756153846,141.68297568,Expensive
381,Ford Country Squire (sw),13.0,8.0,400.0,170.0,4746.0,12.0,71,US,18.09336756153846,126.76897824,Expensive
382,Pontiac Safari (sw),13.0,8.0,400.0,175.0,5140.0,12.0,71,US,18.09336756153846,130.4974776,Expensive
383,Chevrolet Malibu,13.0,8.0,350.0,145.0,3988.0,13.0,73,US,18.09336756153846,108.12648143999999,Expensive
384,Chevrolet Caprice Classic,13.0,8.0,400.0,150.0,4464.0,12.0,73,US,18.09336756153846,111.85498079999999,Expensive
385,Buick Electra 225 Custom,12.0,8.0,455.0,225.0,4951.0,11.0,73,US,19.601148191666667,167.7824712,Expensive
386,Oldsmobile Vista Cruiser,12.0,8.0,350.0,180.0,4499.0,12.5,73,US,19.601148191666667,134.22597696,Expensive
387,Ford Country,12.0,8.0,400.0,167.0,4906.0,12.5,73,US,19.601148191666667,124.531878624,Expensive
388,Dodge Monaco (sw),12.0,8.0,383.0,180.0,4955.0,11.5,71,US,19.601148191666667,134.22597696,Expensive
389,Oldsmobile Delta 88 Royale,12.0,8.0,350.0,160.0,4456.0,13.5,72,US,19.601148191666667,119.31197952,Expensive
390,Mercury Marquis Brougham,12.0,8.0,429.0,198.0,4952.0,11.5,73,US,19.601148191666667,147.648574656,Expensive
391,Oldsmobile Omega,11.0,8.0,350.0,180.0,3664.0,11.0,73,US,21.383070754545454,134.22597696,Expensive
392,Chevrolet Impala,11.0,8.0,400.0,150.0,4997.0,14.0,73,US,21.383070754545454,111.85498079999999,Expensive
393,Mercury Marquis,11.0,8.0,429.0,208.0,4633.0,11.0,72,US,21.383070754545454,155.105573376,Expensive
394,Dodge D200,11.0,8.0,318.0,210.0,4382.0,13.5,70,US,21.383070754545454,156.59697312,Expensive
395,Chevy C20,10.0,8.0,307.0,200.0,4376.0,15.0,70,US,23.52137783,149.1399744,Expensive
396,Ford F250,10.0,8.0,360.0,215.0,4615.0,14.0,70,US,23.52137783,160.32547248,Expensive
397,Hi 1200D,9.0,8.0,304.0,193.0,4732.0,18.5,70,US,26.134864255555556,143.920075296,Expensive
398,Citroen DS-21 Pallas,0.0,4.0,133.0,115.0,3090.0,17.5,70,Europe,inf,85.75548528,Expensive
399,Chevrolet Chevelle Concours (sw),0.0,8.0,350.0,165.0,4142.0,11.5,70,US,inf,123.04047888,Expensive
400,Ford Torino (sw),0.0,8.0,351.0,153.0,4034.0,11.0,70,US,inf,114.092080416,Expensive
401,Plymouth Satellite (sw),0.0,8.0,383.0,175.0,4166.0,10.5,70,US,inf,130.4974776,Expensive
402,Ford Mustang Boss 302,0.0,8.0,302.0,140.0,3353.0,8.0,70,US,inf,104.39798207999999,Expensive
403,Saab 900s,0.0,4.0,121.0,110.0,2800.0,15.4,81,Europe,inf,82.02698592,Expensive
404,Volkswagen Super Beetle 117,0.0,4.0,97.0,48.0,1978.0,20.0,71,Europe,inf,35.793593856,Expensive
405,AMC Rebel SST (sw),0.0,8.0,360.0,175.0,3850.0,11.0,70,US,inf,130.4974776,Expensive
